ภาค,จังหวัด,รายการ,รายการย่อย,ประเภทผู้เยี่ยมเยือน,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565
,,,,ชาวต่างประเทศ,"  3,160 ","  6,758 ","  7,705 ","  7,564 ","  10,280 ","  10,622 ","  11,302 ","  12,070 ","  12,392 ","  2,726 ",  612 ,"  4,935 "
,,รายได้การท่องเที่ยว (ล้านบาท),ผู้เยี่ยมเยือน,รวม,"  1,282.34 ","  3,760.98 ","  3,908.99 ","  4,080.74 ","  4,484.88 ","  4,809.54 ","  5,304.47 ","  5,574.02 ","  5,750.92 ","  2,411.39 ","  1,325.07 ","  4,803.64 "
,,,,ชาวไทย,"  1,269.26 ","  3,738.06 ","  3,880.85 ","  4,053.01 ","  4,452.73 ","  4,774.74 ","  5,264.61 ","  5,532.65 ","  5,705.82 ","  2,399.65 ","  1,323.76 ","  4,793.06 "
,,,,ชาวต่างประเทศ,  13.08 ,  22.92 ,  28.14 ,  27.73 ,  32.15 ,  34.80 ,  39.86 ,  41.37 ,  45.10 ,  11.74 ,  1.31 ,  10.58 
,สิงห์บุรี,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  279,906 ","  406,594 ","  424,381 ","  447,554 ","  480,211 ","  503,259 ","  532,985 ","  552,996 ","  577,495 ","  265,693 ","  184,926 ","  650,137 "
,,,,ชาวไทย,"  278,293 ","  404,179 ","  421,997 ","  445,131 ","  477,652 ","  500,594 ","  530,101 ","  549,985 ","  574,277 ","  265,226 ","  184,723 ","  646,177 "
,,,,ชาวต่างประเทศ,"  1,613 ","  2,415 ","  2,384 ","  2,423 ","  2,559 ","  2,665 ","  2,884 ","  3,011 ","  3,218 ",  467 ,  203 ,"  3,960 "
,,,จำนวนนักท่องเที่ยว,รวม,"  113,949 ","  165,476 ","  163,855 ","  173,014 ","  185,011 ","  189,863 ","  198,089 ","  201,464 ","  219,879 ","  89,016 ","  60,779 ","  201,973 "
,,,,ชาวไทย,"  113,017 ","  164,531 ","  162,999 ","  172,139 ","  184,089 ","  188,910 ","  197,075 ","  200,403 ","  218,658 ","  88,872 ","  60,760 ","  201,254 "
,,,,ชาวต่างประเทศ,  932 ,  945 ,  856 ,  875 ,  922 ,  953 ,"  1,014 ","  1,061 ","  1,221 ",  144 ,  19 ,  719 
,,,จำนวนนักทัศนาจร,รวม,"  165,957 ","  241,118 ","  260,526 ","  274,540 ","  295,200 ","  313,396 ","  334,896 ","  351,532 ","  357,616 ","  176,677 ","  124,147 ","  448,164 "
,,,,ชาวไทย,"  165,276 ","  239,648 ","  258,998 ","  272,992 ","  293,563 ","  311,684 ","  333,026 ","  349,582 ","  355,619 ","  176,354 ","  123,963 ","  444,923 "
,,,,ชาวต่างประเทศ,  681 ,"  1,470 ","  1,528 ","  1,548 ","  1,637 ","  1,712 ","  1,870 ","  1,950 ","  1,997 ",  323 ,  184 ,"  3,241 "
,,รายได้การท่องเที่ยว (ล้านบาท),ผู้เยี่ยมเยือน,รวม,  311.36 ,  544.20 ,  582.59 ,  625.67 ,  684.71 ,  734.73 ,  789.01 ,  833.11 ,  877.62 ,  376.10 ,  253.56 ,  883.88 
,,,,ชาวไทย,  309.30 ,  540.73 ,  579.13 ,  622.14 ,  680.96 ,  730.73 ,  784.49 ,  828.15 ,  872.17 ,  375.35 ,  253.29 ,  877.95 
,,,,ชาวต่างประเทศ,  2.06 ,  3.47 ,  3.46 ,  3.53 ,  3.75 ,  4.00 ,  4.52 ,  4.96 ,  5.45 ,  0.75 ,  0.27 ,  5.93 
,,สถานประกอบการที่พักแรม,จำนวนห้อง,รวม,  540 ,  548 ,  502 ,  582 ,  583 ,  582 ,  613 ,  617 ,  791 ,  801 ,  821 ,  851 
,,,อัตราการเข้าพัก,รวม,  38.21 ,  43.39 ,  49.30 ,  51.42 ,  57.03 ,  59.35 ,  61.04 ,  61.59 ,  58.94 ,  25.62 ,  15.24 ,  38.84 
,,,จำนวนผู้ที่มาเข้าพัก,รวม,"  83,957 ","  96,865 ","  114,107 ","  134,293 ","  147,038 ","  151,794 ","  160,066 ","  163,702 ","  184,656 ","  79,500 ","  50,121 ","  157,688 "
,,,,ชาวไทย,"  83,142 ","  96,079 ","  113,251 ","  133,418 ","  146,116 ","  150,841 ","  159,052 ","  162,641 ","  183,435 ","  79,356 ","  50,102 ","  156,969 "
,,,,ชาวต่างประเทศ,  815 ,  786 ,  856 ,  875 ,  922 ,  953 ,"  1,014 ","  1,061 ","  1,221 ",  144 ,  19 ,  719 
,ชัยนาท,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  163,371 ","  392,174 ","  402,894 ","  523,053 ","  739,621 ","  767,707 ","  825,596 ","  850,839 ","  853,942 ","  404,923 ","  323,017 ","  801,540 "
,,,,ชาวไทย,"  162,455 ","  390,477 ","  400,616 ","  520,029 ","  735,620 ","  763,589 ","  821,231 ","  846,402 ","  849,408 ","  403,951 ","  322,960 ","  799,950 "
,,,,ชาวต่างประเทศ,  916 ,"  1,697 ","  2,278 ","  3,024 ","  4,001 ","  4,118 ","  4,365 ","  4,437 ","  4,534 ",  972 ,  57 ,"  1,590 "
,,,จำนวนนักท่องเที่ยว,รวม,"  108,061 ","  184,091 ","  185,445 ","  241,397 ","  341,630 ","  352,253 ","  374,426 ","  378,126 ","  379,562 ","  152,493 ","  92,380 ","  228,793 "
,,,,ชาวไทย,"  107,422 ","  183,049 ","  184,274 ","  239,825 ","  339,554 ","  350,132 ","  372,204 ","  375,919 ","  377,276 ","  151,996 ","  92,355 ","  228,345 "
,,,,ชาวต่างประเทศ,  639 ,"  1,042 ","  1,171 ","  1,572 ","  2,076 ","  2,121 ","  2,222 ","  2,207 ","  2,286 ",  497 ,  25 ,  448 
,,,จำนวนนักทัศนาจร,รวม,"  55,310 ","  208,083 ","  217,449 ","  281,656 ","  397,991 ","  415,454 ","  451,170 ","  472,713 ","  474,380 ","  252,430 ","  230,637 ","  572,747 "
,,,,ชาวไทย,"  55,033 ","  207,428 ","  216,342 ","  280,204 ","  396,066 ","  413,457 ","  449,027 ","  470,483 ","  472,132 ","  251,955 ","  230,605 ","  571,605 "
,,,,ชาวต่างประเทศ,  277 ,  655 ,"  1,107 ","  1,452 ","  1,925 ","  1,997 ","  2,143 ","  2,230 ","  2,248 ",  475 ,  32 ,"  1,142 "
,,รายได้การท่องเที่ยว (ล้านบาท),ผู้เยี่ยมเยือน,รวม,  192.71 ,  499.88 ,  511.37 ,  684.35 ,"  1,023.26 ","  1,107.86 ","  1,236.34 ","  1,321.59 ","  1,336.56 ",  547.19 ,  360.01 ,"  1,028.38 "
,,,,ชาวไทย,  191.20 ,  497.30 ,  508.16 ,  679.95 ,"  1,017.06 ","  1,101.29 ","  1,229.04 ","  1,313.68 ","  1,328.47 ",  545.52 ,  359.91 ,"  1,025.95 "
,,,,ชาวต่างประเทศ,  1.51 ,  2.58 ,  3.21 ,  4.40 ,  6.20 ,  6.57 ,  7.30 ,  7.91 ,  8.09 ,  1.67 ,  0.10 ,  2.43 
,สระบุรี,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  3,323,861 ","  3,611,197 ","  3,758,125 ","  3,671,852 ","  3,901,204 ","  4,033,081 ","  4,204,992 ","  4,356,276 ","  4,390,001 ","  1,686,377 ","  1,212,289 ","  4,051,441 "
,,,,ชาวไทย,"  3,309,380 ","  3,490,963 ","  3,658,087 ","  3,578,036 ","  3,804,696 ","  3,935,288 ","  4,103,024 ","  4,251,261 ","  4,286,582 ","  1,676,616 ","  1,211,052 ","  4,041,644 "
,,,,ชาวต่างประเทศ,"  14,481 ","  120,234 ","  100,038 ","  93,816 ","  96,508 ","  97,793 ","  101,968 ","  105,015 ","  103,419 ","  9,761 ","  1,237 ","  9,797 "
,,,จำนวนนักท่องเที่ยว,รวม,"  1,027,604 ","  1,277,252 ","  1,346,804 ","  1,320,860 ","  1,376,246 ","  1,425,752 ","  1,457,898 ","  1,464,136 ","  1,461,641 ","  640,986 ","  396,764 ","  1,257,000 "
,,,,ชาวไทย,"  1,017,963 ","  1,240,849 ","  1,309,311 ","  1,286,638 ","  1,342,843 ","  1,392,786 ","  1,423,994 ","  1,430,357 ","  1,427,870 ","  635,998 ","  396,239 ","  1,253,602 "
